trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,picture2,picture3,picture4,context_norm
69,82,2,filler,WP2,g,high,high,match,yes,Der Gefängnisvorstand*bezeugte*in der Anhörung:,Der Skinhead*züchtigte*den Häftling.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler2_WP2_related_1.jpg,Filler2_WP2_related_2.jpg,Filler2_WP2_unrelated_1.jpg,Filler2_WP2_unrelated_2.jpg,Der Gefängnisvorstand bezeugte in der Anhörung:
70,92,12,filler,WP2,j,high,low,mismatch,no,Die Akademikerin*bedauerte*in der Konversation:,Der Passant*schimpfen*den Obdachlosen.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler12_WP2_related_1.jpg,Filler12_WP2_related_2.jpg,Filler12_WP2_unrelated_1.jpg,Filler12_WP2_unrelated_2.jpg,Die Akademikerin bedauerte in der Konversation:
71,33,33,critical,WP1,d,low,high,mismatch,yes,Ganz doll wacker*wiehert*Elisabeth:,Ich*lese*später*meine Bücher*von dem Bahnshop.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Buecher.jpg,Waelzer.jpg,Erfrischungsgetraenke.jpg,Limos.jpg,Ganz doll wacker wiehert Elisabeth:
72,90,10,filler,WP2,g,high,high,match,yes,Der Werkstattinhaber*bekundete*bestürzt:,Der Autobesitzer*belästigte*den Mechaniker.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler10_WP2_related_1.jpg,Filler10_WP2_related_2.jpg,Filler10_WP2_unrelated_1.jpg,Filler10_WP2_unrelated_2.jpg,Der Werkstattinhaber bekundete bestürzt:
73,73,45,filler,SocStat,b,high,high,match,no,Eduard*versprach*seiner Liebsten.,"Ich*schätze,*dass*das Haus*trotz die nahe Deponie*verkauft ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler45_socstat_related_1.jpg,Filler45_socstat_related_2.jpg,Filler45_socstat_unrelated_1.jpg,Filler45_socstat_unrelated_2.jpg,Eduard versprach seiner Liebsten.
74,14,14,critical,WP1,f,high,low,mismatch,no,Außerordentlich präpariert*formuliert*Maria:,Ich*lackiere*später*meine Kritzelei*für das Rendezvous.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Kritzelei.jpg,Zeichnung.jpg,Klauen.jpg,Fingernaegel.jpg,Außerordentlich präpariert formuliert Maria:
75,62,28,filler,SocStat,b,high,high,match,no,Peter*mag*an Potsdam*die vielen Grünflächen.,"Ich*mutmaße,*dass*der Park*wegen die schmale Größe*übersichtlich ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler28_socstat_related_1.jpg,Filler28_socstat_related_2.jpg,Filler28_socstat_unrelated_1.jpg,Filler28_socstat_unrelated_2.jpg,Peter mag an Potsdam die vielen Grünflächen.
76,45,5,filler,SocStat,a,high,high,match,yes,Jans Eltern*verlangen*als Professoren*viel*von ihrem Sohn.,"Ich*denke,*dass*die Studie*wegen des groben Versehens*abgesagt ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler5_socstat_related_1.jpg,Filler5_socstat_related_2.jpg,Filler5_socstat_unrelated_1.jpg,Filler5_socstat_unrelated_2.jpg,Jans Eltern verlangen als Professoren viel von ihrem Sohn.
77,44,4,filler,SocStat,a,high,high,match,yes,Als Justiziar*benötigt man*eine breite Expertise.,"Ich*nehme an,*dass*das Verfahren*wegen der harten Anklage*aufgenommen wurde.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler4_socstat_related_1.jpg,Filler4_socstat_related_2.jpg,Filler4_socstat_unrelated_1.jpg,Filler4_socstat_unrelated_2.jpg,Als Justiziar benötigt man eine breite Expertise.
78,12,12,critical,WP1,f,high,low,mismatch,no,Dienlich geschult*kommentiert*Daniel:,Ich*striegel*gleich*meine Buxen*für den Wettkampf.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Buxen.jpg,Hosen.jpg,Gaule.jpg,Pferde.jpg,Dienlich geschult kommentiert Daniel:
79,53,13,filler,SocStat,a,high,high,match,yes,Trotz Technologiesierung*arbeiten*viele*aus meiner Familie*in Fabriken.,"Ich*schätze,*dass*die Lieferung*wegen der heftigen Stürme*verspätet ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler13_socstat_related_1.jpg,Filler13_socstat_related_2.jpg,Filler13_socstat_unrelated_1.jpg,Filler13_socstat_unrelated_2.jpg,Trotz Technologiesierung arbeiten viele aus meiner Familie in Fabriken.
80,64,30,filler,SocStat,b,high,high,match,no,Jeder Einwohner*bemerkt*die Veränderungen*in Berlin.,Ich*bin sicher*dass*der Umbau*wegen die klare Vorschrift*verzögert wird.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler30_socstat_related_1.jpg,Filler30_socstat_related_2.jpg,Filler30_socstat_unrelated_1.jpg,Filler30_socstat_unrelated_2.jpg,Jeder Einwohner bemerkt die Veränderungen in Berlin.
81,42,2,filler,SocStat,a,high,high,match,yes,Jürgen*spricht gerne*über seine Tätigkeit*auf dem Bau.,"Ich*weiß,*dass*der Aufenthalt*wegen der schlechten Lage*preiswert ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler2_socstat_related_1.jpg,Filler2_socstat_related_2.jpg,Filler2_socstat_unrelated_1.jpg,Filler2_socstat_unrelated_2.jpg,Jürgen spricht gerne über seine Tätigkeit auf dem Bau.
82,20,20,critical,WP1,f,high,low,mismatch,no,Regsam engagiert*renommiert*Lukas:,Ich*serviere*jetzt*meinen Wisch*auf der Veranda.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Wisch.jpg,Antrag.jpg,Schampus.jpg,Champagner.jpg,Regsam engagiert renommiert Lukas:
83,57,17,filler,SocStat,a,high,high,match,yes,Meine Kollegin*schimpft*ständig*über den Erzieherberuf.,"Ich*vermute,*dass*die Aktion*wegen der vollen Kita*zugelassen ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler17_socstat_related_1.jpg,Filler17_socstat_related_2.jpg,Filler17_socstat_unrelated_1.jpg,Filler17_socstat_unrelated_2.jpg,Meine Kollegin schimpft ständig über den Erzieherberuf.
84,11,11,critical,WP1,f,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*bügel*gleich*meine Pferde*während der Tagesschau.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Pferde.jpg,Gaule.jpg,Hosen.jpg,Buxen.jpg,Patent trainiert verklickert Daniel:
85,23,23,critical,WP1,e,low,low,match,no,Emsig werkelnd*labert*Lars:,Ich*kämme*gleich*meine Pulle*nach dem Waschen.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Pulle.jpg,Flasche.jpg,Maehne.jpg,Haare.jpg,Emsig werkelnd labert Lars:
86,107,27,filler,WP2,i,low,high,mismatch,yes,Die Landratten*quatschten*mit dem Seebären:,Der Kapitän*veralberte*den General.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler27_WP2_related_1.jpg,Filler27_WP2_related_2.jpg,Filler27_WP2_unrelated_1.jpg,Filler27_WP2_unrelated_2.jpg,Die Landratten quatschten mit dem Seebären:
87,112,32,filler,WP2,h,high,high,match,no,Der Professorenrat*debattierte*über den Zwist:,Der Rektor*fixieren*den Schüler.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler32_WP2_related_1.jpg,Filler32_WP2_related_2.jpg,Filler32_WP2_unrelated_1.jpg,Filler32_WP2_unrelated_2.jpg,Der Professorenrat debattierte über den Zwist:
88,108,28,filler,WP2,i,high,low,mismatch,yes,Die Erziehungsberechtigten*erzählten*dem Nachfahren:,Der Bruder*beschwindelte*den Onkel.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler28_WP2_related_1.jpg,Filler28_WP2_related_2.jpg,Filler28_WP2_unrelated_1.jpg,Filler28_WP2_unrelated_2.jpg,Die Erziehungsberechtigten erzählten dem Nachfahren:
89,17,17,critical,WP1,f,low,high,mismatch,no,Pingelig getrimmt*schwafelt*Tobias:,Ich*putze*gleich*mein Tier*mit dem Putzzeug.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Tier.jpg,Vieh.jpg,WC.jpg,Klo.jpg,Pingelig getrimmt schwafelt Tobias:
90,116,36,filler,WP2,h,high,high,match,no,Die Aufsichtsbehörde*offenbarte*in einem Dokument:,Der Immobilienbesitzer*betrügen*den Makler.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler36_WP2_related_1.jpg,Filler36_WP2_related_2.jpg,Filler36_WP2_unrelated_1.jpg,Filler36_WP2_unrelated_2.jpg,Die Aufsichtsbehörde offenbarte in einem Dokument:
91,120,40,filler,WP2,h,high,high,match,no,Die Richter*urteilten*souverän:,Der Barkeeper*rügen*den Weinkenner.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler40_WP2_related_1.jpg,Filler40_WP2_related_2.jpg,Filler40_WP2_unrelated_1.jpg,Filler40_WP2_unrelated_2.jpg,Die Richter urteilten souverän:
92,106,26,filler,WP2,i,high,low,mismatch,yes,Die Empfangsdame*erkündigte*der Gesellschaft:,Der Rocksänger*belaberte*den Schlagzeuger.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler26_WP2_related_1.jpg,Filler26_WP2_related_2.jpg,Filler26_WP2_unrelated_1.jpg,Filler26_WP2_unrelated_2.jpg,Die Empfangsdame erkündigte der Gesellschaft:
93,6,6,critical,WP1,c,high,high,match,yes,Höchst strebsam*verlautbart*Moritz:,Ich*töpfere*später*meine Tassen*in dem Atelier.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Tassen.jpg,Poette.jpg,Gemaecher.jpg,Kammern.jpg,Höchst strebsam verlautbart Moritz:
94,67,34,filler,SocStat,b,high,high,match,no,Wir*sind*wegen der guten Möglichkeiten*nach Leipzig*gezogen.,"Ich*behaupte,*dass*der Reifen*trotz die kurze Reparatur*gerettet ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler34_socstat_related_1.jpg,Filler34_socstat_related_2.jpg,Filler34_socstat_unrelated_1.jpg,Filler34_socstat_unrelated_2.jpg,Wir sind wegen der guten Möglichkeiten nach Leipzig gezogen.
95,19,19,critical,WP1,f,low,high,mismatch,no,Aktiv mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen Champagner*während des Meetings.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Champagner.jpg,Schampus.jpg,Antrag.jpg,Wisch.jpg,Aktiv mit dabei protzt Lukas:
96,81,1,filler,WP2,g,low,low,match,yes,Der Türsteher*steckte*dem coolen Partygirl:,Der Trinker*verpfiff*den Taxifahrer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler1_WP2_related_1.jpg,Filler1_WP2_related_2.jpg,Filler1_WP2_unrelated_1.jpg,Filler1_WP2_unrelated_2.jpg,Der Türsteher steckte dem coolen Partygirl:
97,76,48,filler,SocStat,b,high,high,match,no,Der Patient*versicherte*dem Doktor.,"Ich*vermute,*dass*der Zahn*trotz die sanfte Behandlung*oft*schmerzt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler48_socstat_related_1.jpg,Filler48_socstat_related_2.jpg,Filler48_socstat_unrelated_1.jpg,Filler48_socstat_unrelated_2.jpg,Der Patient versicherte dem Doktor.
98,114,34,filler,WP2,h,high,high,match,no,Der Bevollmächtigte*dokumentierte*die Furore:,Der Raufbold*prügeln*den Häftling.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler34_WP2_related_1.jpg,Filler34_WP2_related_2.jpg,Filler34_WP2_unrelated_1.jpg,Filler34_WP2_unrelated_2.jpg,Der Bevollmächtigte dokumentierte die Furore:
99,35,35,critical,WP1,d,low,high,mismatch,yes,Massiv selbstständig*protzt*Vera:,Ich*schminke*später*meine Augen*für die Schau.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Augen.jpg,Glubscher.jpg,Lampe.jpg,Funzel.jpg,Massiv selbstständig protzt Vera:
100,111,31,filler,WP2,h,low,low,match,no,Die Zuschauer*schnackten*in der Pause:,Der Bengel*veräppeln*den Flegel.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler31_WP2_related_1.jpg,Filler31_WP2_related_2.jpg,Filler31_WP2_unrelated_1.jpg,Filler31_WP2_unrelated_2.jpg,Die Zuschauer schnackten in der Pause:
101,86,6,filler,WP2,g,high,high,match,yes,Der Bürgermeister*proklamierte*im*Amtsblatt:,Der Detektiv*überlistete*den Gauner.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler6_WP2_related_1.jpg,Filler6_WP2_related_2.jpg,Filler6_WP2_unrelated_1.jpg,Filler6_WP2_unrelated_2.jpg,Der Bürgermeister proklamierte im Amtsblatt:
102,101,21,filler,WP2,i,low,high,mismatch,yes,Der alte Kauz*brabbelte*voller Sorge:,Der Landwirt*reizte*den Obsthändler.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler21_WP2_related_1.jpg,Filler21_WP2_related_2.jpg,Filler21_WP2_unrelated_1.jpg,Filler21_WP2_unrelated_2.jpg,Der alte Kauz brabbelte voller Sorge:
103,1,1,critical,WP1,c,low,low,match,yes,Sauber zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine Latschen*vor dem Zimmer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Latschen.jpg,Schuhe.jpg,Klamotten.jpg,Kleidung.jpg,Sauber zurechtgemacht labert Peter:
104,27,27,critical,WP1,e,low,low,match,no,Enorm geschickt*schnattert*Susanna:,Ich*schneidere*jetzt*meine Tröte*von dem Trödelmarkt.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Troete.jpg,Trompete.jpg,Fummel.jpg,Kleider.jpg,Enorm geschickt schnattert Susanna:
105,88,8,filler,WP2,g,high,high,match,yes,Die Juroren*verlasen*ihr Votum:,Der Sporttaucher*täuschte*den Brustschwimmer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler8_WP2_related_1.jpg,Filler8_WP2_related_2.jpg,Filler8_WP2_unrelated_1.jpg,Filler8_WP2_unrelated_2.jpg,Die Juroren verlasen ihr Votum:
106,97,17,filler,WP2,j,low,high,mismatch,no,Die Sportlegende*labern*nonstop:,Der Fechter*bekämpfen*den Gegner.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler17_WP2_related_1.jpg,Filler17_WP2_related_2.jpg,Filler17_WP2_unrelated_1.jpg,Filler17_WP2_unrelated_2.jpg,Die Sportlegende labern nonstop:
107,21,21,critical,WP1,e,low,low,match,no,Fix gerüstet plappert*Florian:,Ich*stähle*jetzt*meinen Köter*für den Sommer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Koeter.jpg,Hund.jpg,Wanst.jpg,Bauch.jpg,Fix gerüstet plappert Florian:
108,8,8,critical,WP1,c,high,high,match,yes,Wohlgemut gesinnt*proklamiert*Dennis:,Ich*esse*jetzt*mein Gemüse*von dem Biomarkt.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Gemuese.jpg,Gruenzeug.jpg,Fahrraeder.jpg,Drahtesel.jpg,Wohlgemut gesinnt proklamiert Dennis:
109,41,1,filler,SocStat,a,high,high,match,yes,Tante Inga*schuftet schwer*in der Imbissbude.,"Ich*merke,*dass*die Gegend*wegen des bunten Festes*abgesperrt ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler1_socstat_related_1.jpg,Filler1_socstat_related_2.jpg,Filler1_socstat_unrelated_1.jpg,Filler1_socstat_unrelated_2.jpg,Tante Inga schuftet schwer in der Imbissbude.
110,31,31,critical,WP1,d,low,high,mismatch,yes,Spitze gedrillt*schnarrt*Klaus:,Ich*feuer*bald*meine Pistole*für die Übung.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Pistole.jpg,Knarre.jpg,Arznei.jpg,Pillen.jpg,Spitze gedrillt schnarrt Klaus:
111,25,25,critical,WP1,e,low,low,match,no,Mordsmäßig betucht*brabbelt*Heike:,Ich*pediküre*bald*meine Bude*mit der Kollegin.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Bude.jpg,Residenz.jpg,Mauken.jpg,Fuesse.jpg,Mordsmäßig betucht brabbelt Heike:
112,72,43,filler,SocStat,b,high,high,match,no,Der Elternbeirat*aus Wiesbaden*trifft sich*wöchentlich.,"Ich*denke,*dass*das Treffen*trotz die ernste Diskussion*pünktlich*endet.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler43_socstat_related_1.jpg,Filler43_socstat_related_2.jpg,Filler43_socstat_unrelated_1.jpg,Filler43_socstat_unrelated_2.jpg,Der Elternbeirat aus Wiesbaden trifft sich wöchentlich.
113,4,4,critical,WP1,c,high,high,match,yes,Modern ausgerichtet*spricht*Felix:,Ich*pierce*bald*meine Ohren*in dem Einkaufszentrum.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Ohren.jpg,Lauscher.jpg,Wohnung.jpg,Bruchbude.jpg,Modern ausgerichtet spricht Felix:
114,100,20,filler,WP2,j,high,low,mismatch,no,Der Landesherr*verewigte*auf dem Pergament:,Der Kaiser*hätscheln*den Herzog.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler20_WP2_related_1.jpg,Filler20_WP2_related_2.jpg,Filler20_WP2_unrelated_1.jpg,Filler20_WP2_unrelated_2.jpg,Der Landesherr verewigte auf dem Pergament:
115,10,10,critical,WP1,c,high,high,match,yes,Vermögend situiert*avisiert*Paula:,Ich*rasiere*bald*meine Beine*für die Feier.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Beine.jpg,Stelzen.jpg,Autos.jpg,Karren.jpg,Vermögend situiert avisiert Paula:
116,80,52,filler,SocStat,b,high,high,match,no,Intern*wurden*die Informationen*weitergeleitet.,"Ich*hoffe,*dass*die Führung*trotz das üble Unglück*stattfinden kann.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler52_socstat_related_1.jpg,Filler52_socstat_related_2.jpg,Filler52_socstat_unrelated_1.jpg,Filler52_socstat_unrelated_2.jpg,Intern wurden die Informationen weitergeleitet.
117,75,47,filler,SocStat,b,high,high,match,no,Die Kleine*steckte*ihm*fix*die Neuigkeit.,"Ich*behaupte,*dass*der Wettkampf*trotz die kühle Witterung*wieder*stattfindet.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler47_socstat_related_1.jpg,Filler47_socstat_related_2.jpg,Filler47_socstat_unrelated_1.jpg,Filler47_socstat_unrelated_2.jpg,Die Kleine steckte ihm fix die Neuigkeit.
118,98,18,filler,WP2,j,high,low,mismatch,no,Der Vorstandsvorsitzende*propagierte*in der Sitzung:,Der Ausbilder*sponsern*die Künstlerin.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler18_WP2_related_1.jpg,Filler18_WP2_related_2.jpg,Filler18_WP2_unrelated_1.jpg,Filler18_WP2_unrelated_2.jpg,Der Vorstandsvorsitzende propagierte in der Sitzung:
119,39,39,critical,WP1,d,low,high,mismatch,yes,Lässig chillend*quasselt*Sabine:,Ich*betreibe*jetzt*meine Pension*in der Region.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Pension.jpg,Absteige.jpg,Hausschuhe.jpg,Schlappen.jpg,Lässig chillend quasselt Sabine:
120,65,32,filler,SocStat,b,high,high,match,no,Für die Menschen*in Schwahlheim*sind*die abendlichen Spaziergänge*am See*ein Genuss.,"Ich*weiß,*dass*das Ufer*wegen die grüne Aussicht*idyllisch wirkt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler32_socstat_related_1.jpg,Filler32_socstat_related_2.jpg,Filler32_socstat_unrelated_1.jpg,Filler32_socstat_unrelated_2.jpg,Für die Menschen in Schwahlheim sind die abendlichen Spaziergänge am See ein Genuss.
